"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check if the External Astro Engine (Railway) is alive","1448","test_1_astro_engine_raw_response","tests","Mon Jan 19 17:58:58 UTC 2026","passed","Mon Jan 19 17:58:59 UTC 2026","TestAstroEngineAPI","test_api","",""
"
    Integration Test for the RAG System.
    Validates that the system can retrieve relevant chunks from multiple
    PDF sources simultaneously using semantic search.
    ","222","test_knowledge_base_multi_source","tests","Mon Jan 19 17:59:24 UTC 2026","passed","Mon Jan 19 17:59:25 UTC 2026","","test_retrieval","",""
"OPEN AI SERVER DOES NOT WORK","7","test_3_ai_fails_but_data_exists","tests","Mon Jan 19 17:59:24 UTC 2026","passed","Mon Jan 19 17:59:24 UTC 2026","TestEngineCheck","test_main","",""
"FULL INTEGRATION (Testing  service orchestrator).","13897","test_3_production_flow_with_real_data","tests","Mon Jan 19 17:59:10 UTC 2026","passed","Mon Jan 19 17:59:24 UTC 2026","TestAstroEngineAPI","test_api","",""
"AI and API SERVERS WORK FINE","3","test_4_full_success_flow","tests","Mon Jan 19 17:59:24 UTC 2026","passed","Mon Jan 19 17:59:24 UTC 2026","TestEngineCheck","test_main","",""
"","15286","test_api_consultation_full_flow","tests","Mon Jan 19 17:58:42 UTC 2026","passed","Mon Jan 19 17:58:58 UTC 2026","","test_ai_consultation","",""
"API SERVER JOYTISH DOES NOT WORK","2","test_2_request_fails_astro_service","tests","Mon Jan 19 17:59:24 UTC 2026","passed","Mon Jan 19 17:59:24 UTC 2026","TestEngineCheck","test_main","",""
"Check handling of empty data from Astro Service","3","test_6_astro_returns_empty_data","tests","Mon Jan 19 17:59:24 UTC 2026","passed","Mon Jan 19 17:59:24 UTC 2026","TestEngineCheck","test_main","",""
"Check handling of Astro Service Timeout","1","test_5_astro_service_timeout","tests","Mon Jan 19 17:59:24 UTC 2026","passed","Mon Jan 19 17:59:24 UTC 2026","TestEngineCheck","test_main","",""
"Verifies that the server returns 422 Unprocessable Entity when an empty payload is sent.","3","test_1_pydantic_validation","tests","Mon Jan 19 17:59:24 UTC 2026","passed","Mon Jan 19 17:59:24 UTC 2026","TestEngineCheck","test_main","",""
"Check Internal AI Logic (Integration Test).","11144","test_2_ai_generation_logic","tests","Mon Jan 19 17:58:59 UTC 2026","passed","Mon Jan 19 17:59:10 UTC 2026","TestAstroEngineAPI","test_api","",""
